n03911767 penlight
n01333610 reoviridae
n07869937 kedgeree
n12754781 norway_maple
n02950943 cannon_ball
n12469517 herb_paris
n01671479 desert_tortoise
n03165466 day_nursery
n01971280 squid
n03669245 limber
n02960903 carafe
n07858197 foie_gras
n11756870 acacia_auriculiformis
n12074867 ophrys_apifera
n12117017 crabgrass
n02793930 barnyard
n02678897 adapter
n07889814 bitter
n03788498 motel
n04244847 smack
n03903133 peavey
n04383839 taffeta
n03171228 defence_system
n04295777 staddle
n07852302 roquefort
n03325941 fedora
n12261571 copper_beech
n02536165 sockeye
n04233124 skyscraper
n01791954 bantam
n02816768 beanie
n04249882 snifter
n03939844 pilot_light
n08524735 metropolis
n06614901 outtake
n03450974 grab_bag
n03895170 parvis
n04351699 suiting
n07599911 peanut_brittle
n03445326 gold_plate
n04595855 wiring
n02755140 attache
n07934373 sun_tea
n04082344 resuscitator
n03890358 pargeting
n15091473 riboflavin
n03296081 escapement
n07704205 jook
n12549192 black_medick
n11737125 nigella_sativa
n02045596 auklet
n04610274 yagi
n03055857 coach_house
n03738472 mechanism
n01586941 mocker
n02693246 air_terminal
n11653126 totara
n12680864 viburnum_opulus
n04502670 tweeter
n03066359 coil_spring
n02927887 butterfly_valve
n07822053 caper
n03720163 map
n03917814 permanent_press
n03051249 clothespin
n07835457 hollandaise
n04085574 reversible
n02407521 guernsey
n02788572 baptismal_font
n13896217 crescent
n01922717 parasitic_worm
n03870105 pace_car
n02925666 combat_boot
n12541403 khesari
n02540412 smelt
n01323355 sire
n03378174 food_processor
n02447762 american_badger
n02951703 canopic_jar
n03503997 headlamp
n02262803 stonefly
n04028074 putter
n02699770 altarpiece
n02217563 chalcid
n04354026 summer_house
n02850950 sausage
n03276696 electrometer
n12235051 mayflower
n01565599 sedge_warbler
n03772584 minute_hand
n04017571 psychrometer
n11626152 sitka_spruce
n04482177 tricorn
n03393017 free_house
n12091550 oxlip
n01812662 columba_livia
n02823510 beer_can
n03440682 glockenspiel
n07685918 pumpernickel
n01469723 salp
n03629520 kylix
n12105353 crested_wheatgrass
n03534776 hoover
n12437513 kniphofia
n02921756 burglar_alarm
n11723452 wolfsbane
n02863536 bofors_gun
n01847978 black_duck
n02313709 bryozoan
n03881404 panchromatic_film
n03517760 hi_fi
n02579928 permit
n03140292 crucifix
n11930038 artemisia_campestris
n02288268 inchworm
n11916696 yarrow
n01553142 antbird
n02127292 lynx_lynx
n12939874 cow_parsnip
n12584715 sugar_palm
n03906463 pelham
n12856287 spearmint
n03533014 narghile
n02682407 aeolian_harp
n04530283 vertical_tail
n12243693 fetterbush
n10080869 father
n03736064 meat_grinder
n04449290 tolbooth
n03699591 panga
n03333349 field_hospital
n03875806 paintball
n02666943 slaughterhouse
n04155457 scribe
n02375438 stablemate
n02680638 adjoining_room
n01614038 harpy
n03918737 organizer
n03056583 coaming
n01830479 wood_hoopoe
n04439712 tinfoil
n02038993 pratincole
n02520147 goujon
n03618982 kirk
n02322047 trepang
n02964295 car_ferry
n04060448 rebozo
n02196119 robber_fly
n03671914 linac
n04267165 spandex
n02645953 sea_raven
n12190410 kapok
n12085267 stelis
n12070016 laelia
n03090000 council_board
n01397690 arame
n01602630 vireo
n03291413 entrenching_tool
n03713436 majolica
n00446311 professional_boxing
n12072722 masdevallia
n03062336 cocotte
n03582959 inverter
n01828556 kookaburra
n04294879 horse_barn
n01416213 zooid
n11615387 loblolly_pine
n11828973 allgood
n03041449 cleats
n11818069 stellaria_media
n12048928 calanthe
n01314663 critter
n03456548 greasy_spoon
n03669534 limekiln
n12399899 osage_orange
n00446411 in_fighting
n02058747 gooney_bird
n07693223 schnecken
n03492922 tin_hat
n02601767 striped_mullet
n02631628 striped_marlin
n04328054 stopper_knot
n09376198 ocean
n03503477 head_gasket
n03033267 circlet
n02864593 bitt
n11542137 sphagnum
n03154895 cutwork
n07898247 soave
n12450344 dogtooth
n02919792 cottage
n02072493 narwal
n00440382 broad_jump
n02578771 amberjack
n02411206 musk_ox
n01497118 sawfish
n01817346 poll
n03262809 easel
n12498055 palo_verde
n07880325 rarebit
n02864122 bwr
n12407079 wych_elm
n02202678 punkie
n04147793 scimitar
n01446760 killifish
n09260907 cultivated_land
n03210552 dispensary
n15091304 cobalamin
n12937130 wild_carrot
n04282494 splint
n04397768 teakettle
n02542017 ladyfish
n04041243 radiator_cap
n03220237 cromlech
n03836976 rayons
n12585629 lontar
n02531114 alewife
n03114379 cozy
n09438940 snowdrift
n03350204 fishbowl
n12038898 rampion
n07608339 nougat
n03996004 power_pack
n04104925 rood_screen
n07899292 sweet_vermouth
n03539103 horseless_carriage
n04303497 stapler
n03019938 chintz
n04063154 record_changer
n11957678 calliopsis
n02904505 broadside
n07804657 white_rice
n09443281 spoor
n07919310 fizz
n12732009 white_poplar
n02229765 mole_cricket
n03563460 impeller
n10735984 umpire
n07766723 marang
n04197110 shipwreck
n09283866 foreshore
n12263204 sweet_chestnut
n02839110 billboard
n11963932 brittlebush
n04285803 activewear
n02868638 bomb_shelter
n04244379 sluice
n12269406 quercus_agrifolia
n04213353 sickle
n11646694 bunya_bunya
n03557692 ice_maker
n07845863 homogenized_milk
n02735361 arc_lamp
n04056413 rattrap
n12399384 white_mulberry
n04350581 sugar_bowl
n02050809 little_grebe
n02431628 sambar
n02969323 carriageway
n04567593 weather_satellite
n01365885 neisseria_gonorrhoeae
n01579578 jackdaw
n04045644 baulk
n03641569 lanyard
n09376526 ocean_floor
n03732458 maxi
n03600722 joinery
n03236093 dreadnaught
n03188290 diamante
n03162460 darkroom
n04404200 telex
n00443692 cliff_diving
n02738449 armband
n12199790 booyong
n03519387 high_rise
n12320627 pignut_hickory
n03767459 mimeo
n13238988 stephanotis
n12408280 slippery_elm
n03379204 football_stadium
n01441117 dace
n02080146 harp_seal
n02156871 quadruped
n07902336 aqua_vitae
n02739889 armoured_car
n01892551 water_shrew
n02306825 egger
n02169705 flea_beetle
n02808185 bath_salts
n07560193 fast_food
n03423306 gas_gun
n05427346 ganglion_cell
n02984469 catheter
n01946630 nerita
n07605804 penuche
n11916696 achillea_millefolium
n03447358 golliwog
n03012373 cheesecloth
n06596727 glossy
n02043063 tern
n02570838 surfperch
n04075715 rendering
n04257790 solar_panel
n01485479 basking_shark
n09932508 pitman
n07730406 celery
n02389779 burro
n04137355 sateen
n01517966 carinate
n12753762 striped_maple
n07686720 sourdough_bread
n03087069 concrete_mixer
n08558770 sheikhdom
n11700058 mayapple
n04585128 wilton
n02312912 imago
n12180168 mahoe
n02682569 aerator
n07738105 freestone
n02793089 baritone
n03899100 paternoster
n11602091 coontie
n07721195 pimento
n03443543 godown
n03034244 breaker
n02811618 battle_cruiser
n02822064 bedsitter
n12564083 winged_bean
n04045644 rafter
n01752585 vipera_berus
n12278107 shumard_oak
n02215770 digger_wasp
n04369282 swatter
n10560106 classmate
n07611267 flan
n04442441 toaster_oven
n00448872 rollerblading
n03643253 laser
n01341090 rotavirus
n04257986 photovoltaic_cell
n03864692 overhead_projector
n03162818 dart
n04536153 viol
n02451415 taira
n03326795 felt
n04542858 wading_pool
n01791107 gallina
n11971248 gazania
n03882960 panhandle
n03698815 lychgate
n02794008 barograph
n07605040 spun_sugar
n03538300 horsecar
n03056288 coal_house
n03425595 gas_stove
n04164002 secondary
n04127395 guardrail
n02687423 aircraft_engine
n04447028 toilet_bowl
n06267758 school_newspaper
n04331639 straightener
n01734104 pine_snake
n13025854 saccharomyces_cerevisiae
n13124358 saprobe
n01631354 taricha_granulosa
n06618653 spaghetti_western
n09452291 swale
n07914271 smoothie
n09877951 crony
n02992795 scotch_tape
n12568186 robinia_pseudoacacia
n01546039 scrubbird
n03617594 picture_tube
n03658635 levee
n12152532 cotton_grass
n04328580 secondary_cell
n02941845 camail
n12282527 betula_pendula
n01635027 dicamptodon
n04961062 alabaster
n03057920 coat_hanger
n07588111 fish_chowder
n03668067 lightning_rod
n03351151 fishhook
n03126090 cramp
n12319414 juglans_regia
n01611472 falco_peregrinus
n08596076 littoral_zone
n03879705 pallette
n04452757 toolshed
n01424420 plasmodium_vivax
n03264906 edger
n03035832 cittern
n01594787 barn_swallow
n02965216 cargo_liner
n03307037 extension_cord
n04340521 strobe
n04406239 tv_room
n03837698 oast_house
n07625324 timbale
n02519862 blue_cat
n07888229 pilsner
n01323068 tiger_cub
n08782627 aegean_island
n03201638 evening_gown
n07608245 marzipan
n03201638 dinner_dress
n10514429 ref
n02584449 pirana
n04412416 tepee
n02654745 cowfish
n03657511 body_suit
n04274985 sphygmomanometer
n04102618 roller_skate
n15091669 vitamin_b6
n03123809 byre
n02064000 bowhead
n12508309 milk_vetch
n04215153 sidesaddle
n12919847 leafy_spurge
n03943115 pinion
n04284438 spork
n09308743 ice_cap
n03099147 convector
n04030846 quadrant
n00442981 diving
n10564098 movie_actor
n04255163 socket
n02733524 arch
n03423877 gas_lamp
n07708124 julienne
n03195959 dat
n04105704 roofing
n01322604 puppy
n03729482 matchlock
n02042046 herring_gull
n02861147 bocce_ball
n03565830 in_basket
n07881625 refried_beans
n11988132 goldfields
n02998841 chador
n03638623 landing_craft
n01922717 helminth
n04224543 sister_ship
n01995686 brine_shrimp
n03642144 laparoscope
n12262018 weeping_beech
n04137773 satellite_receiver
n01842235 barbet
n04257790 solar_array
n01687290 caiman_lizard
n02169974 potato_beetle
n02624987 chub_mackerel
n04157099 scullery
n12139575 cordgrass
n03313333 facade
n04238321 zip
n02524202 pollack
n03699591 machete
n05459101 spermatid
n12093600 cyclamen_hederifolium
n02676938 acropolis
n01569566 blackpoll
n04219185 silex
n13219422 horsetail
n03141612 cruse
n03436182 boom_box
n12506991 anthyllis_vulneraria
n02421449 wildebeest
n02150134 mastiff_bat
n03205458 dirk
n08517676 bus_stop
n04459122 touring_car
n02527622 conger
n03432129 gear_lever
n03825271 skittle
n04110439 positioner
n12610328 water_hyacinth
n04962062 silver
n01834540 thornbill
n08628141 kasbah
n02240517 bedbug
n02813752 bazooka
n12261808 fagus_grandifolia
n03170635 freezer
n00466273 professional_golf
n02862916 body_lotion
n12092262 pimpernel
n03030880 cigarette_butt
n03533014 water_pipe
n01540832 hawfinch
n02054036 cormorant
n13198054 fiddlehead
n03994614 powder_horn
n01337734 poliovirus
n01807105 tragopan
n02745492 artificial_heart
n04150371 scow
n11616662 scotch_pine
n02333546 rattus_norvegicus
n03758894 microbalance
n13006631 milkcap
n07848936 ghee
n02588286 grunt
n03688405 long_sleeve
n07827750 poppy_seed
n13003254 death_angel
n01748906 hamadryad
n01965529 zebra_mussel
n04489695 trousseau
n03474167 habit
n01986806 shrimp
n03678729 little_theater
n01527917 skylark
n01855188 smew
n07905618 pulque
n02512752 fingerling
n04158250 scythe
n10155849 hairstylist
n02153109 big_game
n03002341 chair_lift
n03619050 kirpan
n03390075 foxhole
