n02422699 impala
n07565083 menu
n03047690 sabot
n03717622 manhole_cover
n04152593 screen
n03930313 picket_fence
n03724870 mask
n03982430 snooker_table
n02328150 angora_rabbit
n02777292 balance_beam
n04596742 wok
n03804744 nail
n02231487 stick_insect
n02165105 tiger_beetle
n03742115 medicine_cabinet
n02672831 accordion
n02106030 collie
n04201297 shoji
n03854065 organ
n03424325 respirator
n02116738 lycaon_pictus
n03216828 docking_facility
n03445777 golf_ball
n02133161 black_bear
n01664065 loggerhead_turtle
n04118776 ruler
n01843383 toucan
n04328186 stopwatch
n04264628 space_bar
n02865351 bola
n03920288 petri_dish
n01496331 electric_ray
n02749479 assault_gun
n01644373 tree_frog
n02128385 panthera_pardus
n04099969 rocker
n04252225 snowplough
n02105251 briard
n01518878 ostrich
n03954731 plane
n02125311 mountain_lion
n02107142 doberman
n03933933 pier
n02486261 patas
n02655020 pufferfish
n03599486 jinrikisha
n02011460 bittern
n04479046 trench_coat
n04111531 rotisserie
n02091134 whippet
n04235860 sleeping_bag
n03666591 ignitor
n03840681 sweet_potato
n02110958 pug
n03032252 cinema
n03075370 combination_lock
n01776313 tick
n02268443 dragonfly
n02086079 peke
n03950228 ewer
n02104029 kuvasz
n02951358 canoe
n07873807 pizza_pie
n07754684 jak
n03197337 digital_watch
n04356056 dark_glasses
n02892767 brassiere
n07714990 broccoli
n03452741 grand_piano
n02110185 siberian_husky
n01685808 whiptail
n02777292 beam
n02669723 academic_gown
n02909870 bucket
n02699494 altar
n02788148 balustrade
n02125311 puma
n04482393 velocipede
n03637318 lampshade
n02692877 dirigible
n01664065 loggerhead
n04033901 quill_pen
n04372370 electrical_switch
n03903868 pedestal
n09399592 head
n07716358 courgette
n02988304 cd_player
n04004767 printer
n11879895 rapeseed
n02091032 italian_greyhound
n04258138 solar_furnace
n02999410 chain
n02114712 maned_wolf
n03796401 moving_van
n04389033 army_tank
n03598930 jigsaw_puzzle
n04041544 wireless
n04507155 umbrella
n01914609 anemone
n01910747 jellyfish
n01968897 chambered_nautilus
n03530642 honeycomb
n03532672 claw
n01984695 crawfish
n07715103 cauliflower
n07932039 eggnog
n02087394 rhodesian_ridgeback
n04239074 sliding_door
n02687172 aircraft_carrier
n01820546 lorikeet
n03047690 geta
n03857828 oscilloscope
n02971356 carton
n01873310 ornithorhynchus_anatinus
n04404412 television_system
n13133613 capitulum
n03216828 dockage
n04120489 running_shoe
n01729322 hognose_snake
n09835506 baseball_player
n01770081 daddy_longlegs
n02107908 appenzeller
n02102480 sussex_spaniel
n04154565 screwdriver
n03792782 mountain_bike
n02134084 polar_bear
n04328186 stop_watch
n07693725 beigel
n02109961 husky
n02951585 can_opener
n02860847 bob
n01729322 puff_adder
n07754684 jack
n02112137 chow
n04536866 fiddle
n03720891 maraca
n02667093 abaya
n03902125 pay_phone
n10148035 groom
n04285008 sport_car
n02510455 giant_panda
n02100583 vizsla
n02028035 redshank
n03594734 blue_jean
n03417042 garbage_truck
n02871525 bookstore
n02687172 flattop
n02094433 yorkshire_terrier
n03594734 jean
n03394916 french_horn
n02007558 flamingo
n03929855 pickelhaube
n02109961 eskimo_dog
n04263257 soup_bowl
n02094114 norfolk_terrier
n04428191 thresher
n04275548 spider_web
n02074367 dugong
n03017168 gong
n02190166 fly
n03843555 oil_filter
n01980166 fiddler_crab
n02033041 dowitcher
n02177972 weevil
n04356056 sunglasses
n01496331 numbfish
n02105855 shetland_sheepdog
n04099969 rocking_chair
n09472597 volcano
n02808440 bathtub
n02099601 golden_retriever
n03095699 container_ship
n09468604 vale
n03857828 scope
