n11845793 hedgehog_cactus
n03291741 envelope
n01538200 yellowhammer
n03834040 nuclear_reactor
n12588780 wax_palm
n02377388 gelding
n02865931 bolt
n03039353 claymore
n12842887 calamint
n04093157 ringlet
n02071028 grampus
n03175189 denim
n03500209 hawser
n03527149 hollowware
n02904640 broadsword
n03321103 turbofan_engine
n04273796 speedometer
n04172904 separate
n04190052 shelf
n03628728 crease
n03712337 mainsail
n02903727 broadcloth
n07869611 jambalaya
n03991837 potentiometer
n00483848 pallone
n12365900 clusia
n06274092 long_distance
n12926480 cassava
n07683138 host
n04168840 seismograph
n11616662 pinus_sylvestris
n03098688 control_room
n03638180 lander
n01495006 bonnethead
n03977158 pole
n01663782 chelonia_mydas
n03432360 geiger_counter
n11706761 avocado
n03697366 lem
n07592768 ratatouille
n09478210 whin
n01860002 trumpeter_swan
n03880531 cooking_pan
n13127843 offset
n02746365 artillery
n03410147 gaff
n03427202 rod
n04165945 security_system
n02820210 bedclothes
n01708106 saurischian
n12931906 angelica
n12615232 eelgrass
n02430045 cervid
n04409806 tennis_racket
n11725821 anemone_nemorosa
n03499354 hatpin
n04079244 residence
n03739518 healthcare_facility
n04533802 videocassette_recorder
n11775340 rauvolfia
n07621497 sabayon
n00466630 match_play
n07686634 simnel
n04231693 ski_tow
n01753959 pit_viper
n04492060 trunk_lid
n11943407 calendula
n07600696 caramel_apple
n03119203 country_store
n13879320 trigon
n02793296 bar_magnet
n02656301 burrfish
n02438272 alpaca
n00452293 hunt
n03038685 schoolroom
n01593553 verdin
n03879705 pallette
n08896327 sultanate
n03449451 gourd
n03855214 organza
n04973386 burnt_sienna
n02407959 buffalo
n04030161 pyx
n03528901 home_plate
n02865665 bolt
n04537436 virginal
n12291959 bluebell
n04104147 rolodex
n02933990 cable_system
n01792955 broody
n03825080 nightwear
n07690892 scone
n02704949 amphitheatre
n01595974 house_martin
n02226970 locust
n06614901 outtake
n09389867 perforation
n04402057 phone_line
n04967882 bottle_green
n07853345 double_gloucester
n02505998 mastodon
n04608329 writing_desk
n01623880 spotted_owl
n03770224 minicomputer
n05526957 prepuce
n01905321 theca
n03929202 pickaxe
n02715513 antechamber
n04592596 wineskin
n07924560 grape_juice
n03180865 detached_house
n01669654 painted_turtle
n10582746 military_personnel
n03489162 hand_tool
n07731587 endive
n03297226 espalier
n03478907 hall
n03072201 color_tv
n04295881 arena
