n02857477 boarding_house
n12932365 angelica_sylvestris
n03291741 envelope
n02072493 narwal
n02092173 staghound
n02377388 gelding
n02865931 bolt
n01386007 pathogen
n12842887 calamint
n02071028 grampus
n07915618 manhattan
n03175189 denim
n03527149 hollowware
n02904640 broadsword
n03321103 turbofan_engine
n04273796 speedometer
n04172904 separate
n04190052 shelf
n07606058 jujube
n03628728 crease
n03712337 mainsail
n04136045 sarcophagus
n02903727 broadcloth
n07869611 jambalaya
n02776205 decoy
n03991837 potentiometer
n00483848 pallone
n04293744 squinch
n12926480 cassava
n07683138 host
n11616662 pinus_sylvestris
n03098688 control_room
n03638180 lander
n04459018 toupee
n09290444 gorge
n04366116 suspension
n01663782 chelonia_mydas
n03432360 geiger_counter
n11706761 avocado
n03697366 lem
n07592768 ratatouille
n03880531 cooking_pan
n13127843 offset
n02441326 mustelid
n02746365 artillery
n09270657 drumlin
n02413131 domestic_sheep
n03410147 gaff
n04165945 security_system
n02820210 bedclothes
n12866459 salvia_divinorum
n02430045 cervid
n11725821 anemone_nemorosa
n04079244 residence
n12370174 mammee
n11928858 mugwort
n04533802 videocassette_recorder
n11775340 rauvolfia
n07621497 sabayon
n00466630 match_play
n03739518 healthcare_facility
n03927299 photostat
n04231693 ski_tow
n11617878 knobcone_pine
n02992032 ward
n12023407 silver_lace
n01753959 pit_viper
n04492060 trunk_lid
n11943407 calendula
n07600696 caramel_apple
n02177196 water_beetle
n03119203 country_store
n13879320 trigon
n02793296 bar_magnet
n02656301 burrfish
n00452293 hunt
n03038685 schoolroom
n01593553 verdin
n04108268 rope
n08896327 sultanate
n03449451 gourd
n03855214 organza
n04030161 pyx
n03528901 home_plate
n02865665 bolt
n01495493 angelfish
n12291959 bluebell
n04257790 solar_battery
n04308397 stealth_fighter
n02933990 cable_system
n01792955 broody
n03825080 nightwear
n07690892 scone
n03138344 pry
n02704949 amphitheatre
n01595974 house_martin
n02332156 mus_musculus
n02226970 locust
n06614901 outtake
n09389867 perforation
n04402057 phone_line
n04967882 bottle_green
n07853345 double_gloucester
n02505998 mastodon
n04608329 writing_desk
n07735294 black_salsify
n02471762 hominid
n03770224 minicomputer
n03086868 concertina
n04072551 rein
n05526957 prepuce
n01905321 theca
n03929202 pickaxe
n02715513 antechamber
n04592596 wineskin
n02606384 damselfish
n07924560 grape_juice
n03180865 detached_house
n04533594 vicuna
n01669654 painted_turtle
n07682197 crouton
n10582746 military_personnel
n03489162 hand_tool
n07731587 endive
n07889193 wort
n03478907 hall
n03072201 color_tv
n02375438 stablemate
n07739035 windfall
n03462747 ground
n02731398 apse
n01545574 lyrebird
n10345015 nan
n02860415 bobbin
n03449309 gouge
n01442710 rudd
n04971211 carnation
n12110085 avena_sativa
n03919096 personnel_carrier
n02338145 muskrat
n06267758 school_paper
n03683606 locker
n10763383 server
n02570164 jewfish
n04384910 rear_lamp
n15091129 vitamin_b1
n11611356 pinus_rigida
n04415257 test_equipment
n04166111 security_system
n01998741 acorn_barnacle
n03723439 marriage_bed
n01561452 redstart
n03305953 etd
n04431745 pushpin
n02417534 wild_goat
n01577035 sturnus_vulgaris
n02875436 rock_drill
n09820263 jock
n03475823 hairdressing
n03369276 flugelhorn
n07672914 oleomargarine
n02975994 casein_paint
n01821869 budgie
n03610992 kerchief
n12274358 bur_oak
n04340521 stroboscope
n00523513 sport
n02823510 beer_can
n00466880 croquet
n05578095 heel
n03332393 field_gun
n01629962 spotted_salamander
n02984203 duomo
n02891188 brakes
n07694659 shortcake
n12271643 red_oak
n01733957 gopher_snake
n04446162 threads
n07928578 phosphate
n04037076 rabbit_ears
n13900422 pillar
n04181228 trammel
n02786198 bandanna
n07928790 pepsi_cola
n08494231 funfair
n13132756 thyrsus
n09453008 plateau
n04348359 submersible
n11628456 douglas_fir
n03953020 business_establishment
n11632619 cupressus_sempervirens
n01549430 pewee
n07816575 hyssop
n04506895 ultrasuede
n13917690 truncated_pyramid
n04301760 standard_transmission
n02003204 marabout
n02372584 coney
n11838916 bougainvillea
n03193107 diesel_engine
n04355115 sunday_best
n02067240 sperm_whale
n01671125 gopher
n03912218 pennywhistle
n03547229 hovercraft
n12865562 purple_sage
n11916696 achillea_millefolium
n04602840 works
n02624807 spanish_mackerel
n01830915 motmot
n02523427 eelpout
n10305635 medical_officer
n03533014 narghile
n04095210 river_boat
n03454110 grapnel
n02003839 jabiru
n03770954 mink
n12633638 apple_tree
n07909954 curacao
n02207345 queen_bee
n03795976 movie_projector
n09462600 troposphere
n12663359 coffea_canephora
n12935609 hemlock
n03404360 fur_hat
n13038068 gyromitra_esculenta
n02973017 magazine
n02991048 cell
n12983048 phytophthora_infestans
n12062468 helleborine
n02981911 trebuchet
n03315644 facing
n09191635 air_bubble
n09263912 gorge
n07557165 treat
n01918744 ctenophore
n03744276 computer_storage
n04513827 upholstery
n04463679 rails
n02430045 deer
n04373428 donkey_engine
n04290762 spy_satellite
n03288500 engine_room
n04112252 rotary_wing
n01551711 manakin
n03062336 cocotte
n13154388 pinnule
n02916350 bullet
n01797601 sage_grouse
n04067353 reef_knot
n00480885 battledore
n03680734 lobe
n07584332 bisque
n04586581 key
n03331077 fez
n00446804 spar
n02811059 cage
n03397266 frigate
n12833985 streptocarpus
n03836976 rayons
n11910271 bleeding_heart
n03906106 wooden_leg
n07562495 dietary_supplement
n12757303 bearberry
n07889990 burton
n03273913 fridge
n03359566 flask
n02922798 gunny
n11705171 cassia
n04409128 pinnace
n02326862 european_hare
n03979377 polyester
n00470554 professional_football
n07712959 nacho
n02767433 backrest
n07936548 carbonated_water
n13879320 triangle
n02667478 abbey
n03665924 electric_light
n04374735 synagogue
n10123844 full_general
n03730153 materiel
n09315159 ion
n02341974 water_vole
n03434285 generator
n04579056 whiskey_bottle
n02210427 mining_bee
n05469861 dendrite
n02976123 sheath_knife
n07818995 marjoram
n10735984 umpire
n04382880 tachometer
n03658858 spirit_level
n03699975 machine
n04590746 windshield_wiper
n09403427 rainbow
n03199647 diner
n07921834 scrumpy
n04535370 villa
n02384741 steeplechaser
n02911332 polisher
n04247876 snaffle
n07927716 birch_beer
n02490811 pygmy_marmoset
n03187751 dialyzer
n12336333 eucalyptus_camaldulensis
n03622058 klaxon
n03566193 incinerator
n01991028 slater
n02363351 castor_canadensis
n04437953 timekeeper
n07721456 chilly
n02786736 bandoneon
n03181667 detention_house
n07849733 whey
n03452267 gramophone
n03656484 lense
n03644378 reata
n12244153 rhododendron
n09362945 mull
n12545635 lotus_corniculatus
n02241426 true_bug
n12791064 philadelphus
n02801525 basin
n12202936 linden
n02921592 burette
n03500389 hay_bale
n02873623 boot_camp
n03965456 mall
n09436708 sky
n04002629 primary
n07851926 processed_cheese
n11623967 deodar
n03119203 trading_post
n04366116 suspension_system
n12737898 mistletoe
n02031934 snipe
n02147947 pipistrelle
n13107694 timber_tree
n02336641 wood_mouse
n07903208 brandy
n03209910 floppy
n07580253 special
n07881800 potable
n00433802 gymnastics
n03858418 pouf
n03508101 warmer
n03098140 control_board
n03592245 pokey
n03883524 pannier
n02085019 feist
n12416703 saffron
n02208280 apis_mellifera
n00523513 athletics
n12589687 latanier
n13139647 husk
n11672269 bloomer
n03719343 mantelpiece
n02877962 bottle_opener
n02004492 jabiru
n01619536 condor
n03122073 covered_bridge
n12092262 pimpernel
n01480106 placoderm
n04533802 vcr
n02749670 assagai
n04139859 savings_bank
n02236241 praying_mantis
n02759387 autogyro
n11727091 aquilegia
n11601918 zamia
n04393095 tape_recorder
n11971248 gazania
n04586932 wind
n02863750 steam_boiler
n03238879 dress_shirt
n12065649 frog_orchid
n02022684 shorebird
n04403413 telephoto_lens
n03957315 planter
n03186818 telephone_dial
n02820210 bedding
n12345899 rhizophora_mangle
n09218641 ben
n04543509 wagon
n02872529 booster_station
n04322531 stockade
n03211789 display_window
n03581125 carrefour
n05258051 forelock
n12814643 catalpa
n11904109 corydalis
n02523427 burbot
n03681477 lan
n12696492 neem_tree
n02580679 horse_mackerel
n03128427 crazy_quilt
n03652729 lean_to
n03815278 neckline
n02084732 barker
n04288272 spring
n03343047 fin_keel
n08238463 class
n03085915 computer_system
n02803934 contrabass
n04381994 tableware
n11805956 sandwort
n03494537 organ
n02776205 lure
n03129753 credence
n03035715 cistern
n04387932 tampax
n04127904 canvass
n03309687 eyeshadow
n04972451 deep_brown
n07617708 plum_pudding
n02933990 cable_television
n04177820 settee
n02862048 body_armor
n04084889 revere
n12276477 quercus_petraea
n02223266 termite
n12412987 orris
n12433178 shallot
n03365231 floatplane
n03885194 panting
n01575745 oriole
n03511175 hedge
n02034661 longlegs
n04060647 receiving_system
n01714231 allosaurus
n12493208 carob
n02123478 angora
n02878222 bottom
n03112719 corselet
n01621635 owlet
n03653583 reading_desk
n07766530 mammee
n03986949 portmanteau
n03578656 interface
n13081999 dry_rot
n07733712 pigweed
n04445327 toggle
n07749312 valencia_orange
n07933799 cuppa
n04476116 trawler
n03615406 khaki
n03675235 linotype_machine
n04461570 towpath
n02607470 sergeant_major
n03471347 gusset
n11953038 chicory
n02843909 biretta
n01617095 gyps_fulvus
n04305323 stately_home
n02486657 chacma
n01584225 wren
n12854048 horehound
n07726672 cowpea
n03504723 main_office
n03798061 mule
n03351262 fishing_boat
n03883054 panic_button
n07868340 fried_rice
n12953484 osmunda_regalis
n03342015 fingerpaint
n04524594 velcro
n07765361 guava
n02715513 anteroom
n04183329 shaker
n04261638 sound_camera
n07866723 egg_roll
n02766534 pusher
n03878511 palaestra
n02036711 avocet
n03567066 brooder
n02537319 brown_trout
n03684823 engine
n03688943 observation_tower
n07574176 potluck
n00483313 singles
n03595409 jeroboam
n12124818 perennial_ryegrass
n07838073 gravy
n02513727 parr
n04452757 toolshed
n02539424 lake_whitefish
n02433925 caribou
n04453910 cover
n03360731 flat
n12117695 barnyard_grass
n04216634 screen
n02062017 aquatic_mammal
n02791665 barbican
n07575076 lunch
n04123228 sackcloth
n04501837 turntable
n12848499 hyssop
n03036022 city_hall
n02525382 torsk
n14765422 leopard
n01781570 acarus
n02447762 american_badger
n03431745 gearing
n12590715 palm_kernel
n04113038 rouleau
n13900422 column
n12548280 trefoil
n02770211 back_porch
n12263204 castanea_sativa
n03085781 computer_store
n03449451 calabash
n04330189 stoup
n09448690 creek_bed
n04266162 space_platform
