n01536035 chipping_sparrow
n03799240 multiprocessor
n04211219 shunter
n03906590 pelican_crossing
n02941845 camail
n04401680 telephone_box
n11961100 mum
n11616662 scots_pine
n13895262 belly
n02407071 durham
n07726525 mushy_peas
n02653786 filefish
n09361517 mountainside
n03684489 lockring
n01972131 giant_squid
n04185804 electric_shaver
n02971167 rubber_tire
n07569873 soybean_meal
n03439631 glengarry
n02522637 codling
n03368352 flower_bed
n01596608 purple_martin
n06592281 rock_opera
n07926540 malted_milk
n13188096 davallia
n12277578 common_oak
n03543394 hot_rod
n01693783 chameleon
n03114379 cosy
n04545984 walk_in
n03522100 hipped_roof
n03450974 grab_bag
n11989393 edelweiss
n02737351 ark
n12928307 candelilla
n02363351 castor_canadensis
n02682407 aeolian_harp
n11602478 ceratozamia
n01850873 canvasback
n03499907 hawaiian_guitar
n03559531 identikit
n01713764 tyrannosaurus
n04492060 trunk_lid
n04414319 terra_sigillata
n06618653 spaghetti_western
n02300554 bombyx_mori
n04484432 triode
n03009794 charnel
n12762049 mastic
n02375438 stable_companion
n03696445 lugger
n04198722 shiv
n03831382 noseband
n08524735 city
n11946051 safflower
n01905321 theca
n06417096 breviary
n12946849 dogwood
n02205673 black_fly
n10735173 typist
n04103364 rolling_stock
n03302671 exercise_bike
n07584423 borsch
n02405440 banting
n09283405 foothill
n01454856 stickleback
n07801342 silage
n03801533 vaudeville_theater
n04244847 smack
n00455076 overcast
n13025647 yeast
n12129738 phalaris_arundinacea
n02841187 binnacle
n04290259 gad
n11691046 corolla
n07916041 martini
n12510343 palas
n12882945 digitalis_purpurea
n03758894 microbalance
n01906749 sponge
n07904760 geneva
n01679626 collared_lizard
n03240892 drill_press
n03698815 lychgate
n12099342 sea_lavender
n01914830 actinia
n01416213 zooid
n03767203 mill_wheel
n11508382 snowfall
n03275681 electrolytic_capacitor
n07567139 food_color
n09259025 crag
n12552893 restharrow
n07904865 grog
n02406533 brown_swiss
n12991184 cladonia_rangiferina
n03629100 kurdistan
n02910542 buckram
n03900194 patrol_ship
n13198054 fiddlehead
n07743902 cranberry
n04592356 winepress
n09206896 arroyo
n02432511 mule_deer
n04453390 toothpick
n12236160 shallon
n11598886 ephedra_sinica
n04586072 shelterbelt
n01713764 tyrannosaur
n04529962 vertical_stabiliser
n12281788 betula_alleghaniensis
n03241335 bubbler
n03919096 personnel_carrier
n12508309 milk_vetch
n02878628 boulle
n03533014 hookah
n02962200 carburettor
n03440876 glory_hole
n03624400 knife_blade
n03902482 peach_orchard
n01581166 canada_jay
n02759387 autogyro
n12647376 bird_cherry
n07812790 lemon_oil
n02654745 cowfish
n03907908 penalty_box
n04360798 support_column
n06625062 encyclical
n02181235 darkling_beetle
n03524976 hogshead
n03957315 planter
n01817346 poll
n02203152 midge
n02195819 bee_fly
n04187233 sheathing
n04062179 reciprocating_engine
n02245111 firebug
n09410224 rift_valley
n04525821 venn_diagram
n04509260 uneven_bars
n07936015 spring_water
n11598686 ephedra
n12129986 canary_grass
n03612010 ketch
n07908812 benedictine
n07567139 food_colouring
n01807105 tragopan
n03565830 in_basket
n07924834 orange_juice
n05584746 hangnail
n03089879 conference_room
n04308273 stealth_bomber
n02705429 amphora
n02879309 boutique
n07908411 absinth
n07643200 strawberry_jam
n02437482 bactrian_camel
n03041810 clerestory
n04499062 tureen
n07938313 soul_food
n11844371 sahuaro
n04121228 rushlight
n12015959 goldenrod
n03353951 fixative
n03823216 niblick
n01854700 goosander
n04290507 spur_gear
n04145863 schmidt_camera
n02941845 aventail
n12750767 leatherwood
n03503997 headlight
n01566207 tailorbird
n02745492 artificial_heart
n01859496 tundra_swan
n12491017 orchid_tree
n02129463 lioness
n04963307 turkey_red
n07569873 soy_flour
n01972541 cuttle
n03215191 dive_bomber
n03872273 packsaddle
n04155457 scriber
n04420024 thermal_reactor
n02481366 mountain_gorilla
n03114379 cozy
n11828973 allgood
n07916437 old_fashioned
n03483230 handbell
n13201969 woodsia
n12281974 betula_papyrifera
n01917611 staghorn_coral
n10560106 classmate
n11770256 dita
n04279462 spinning_wheel
n04390577 tank_top
n02536165 sockeye_salmon
n07892418 vintage
n12733870 populus_tremula
n12365285 laurelwood
n04293258 squelch
n02880842 bowie_knife
n07849619 raita
n02416104 barbary_sheep
n04502851 twenty_two
n13007417 oyster_mushroom
n10509063 reading_teacher
n03123553 coverlet
n00477392 lacrosse
n03547397 howdah
n00466524 stroke_play
n12173069 velvetleaf
n03136369 crossbow
n01972541 cuttlefish
n03133050 crochet_hook
n02152740 predator
n02058747 gooney_bird
n01693783 chamaeleon
n11725623 thimbleweed
n02350989 jumping_mouse
n03610682 kepi
n03334912 fifth_wheel
n02725872 anvil
n02950943 cannonball
n03468570 gunboat
n03004409 chambray
n11542137 sphagnum
n02271897 thrips
n07847453 clotted_cream
n02048353 tufted_puffin
n04560113 water_heater
n03212114 disposal
n04610013 racing_yacht
n03303669 exhaust_valve
n15089803 vitamin_a
n03842585 cyma_reversa
n07878647 stuffed_peppers
n01852142 wood_duck
n04973020 tan
n02561514 muskellunge
n12402596 pipal_tree
n02220804 carpenter_ant
n03977592 police_boat
n04533946 dvd
n07921360 chocolate_milk
n02427470 kob
n02786198 bandanna
n07808587 coleslaw
n03690851 lota
n02565324 largemouth_bass
n01384164 zooplankton
n03572107 inkle
n10536416 rock_star
n03418749 garibaldi
n03071021 cologne
n04555700 wastebasket
n04252653 snow_blower
n11609475 pinon
n12855494 water_mint
n01646388 agua
n09932508 collier
n04410086 tenor_drum
n03140126 crucible
n02864593 bitt
n11830906 saltbush
n02378541 cavalry_horse
n02027357 stint
n12403994 paper_mulberry
n02098906 water_dog
n03437430 gilding
n12002428 butterbur
n02081798 atlantic_walrus
n02961035 khan
n07596160 icing_sugar
n01890860 shrew_mole
n07611046 compote
n02052204 white_pelican
n04499810 turnbuckle
n01548492 western_kingbird
n03607923 kameez
n02739889 armoured_car
n03282401 embellishment
n01925270 planaria
n03334382 fieldwork
n02160947 social_insect
n00451635 motorcycling
n02653145 triggerfish
n10304914 medalist
n11873182 horseradish
n10341343 music_teacher
n03180732 destroyer_escort
n02873623 boot_camp
n03989898 post_house
n02813252 bay_rum
n11631854 cupressus_arizonica
n07807594 potato_salad
n02475078 neanderthal
n01457852 trumpetfish
n02749670 assagai
n10147710 grocer
n11759853 rain_tree
n03290096 ensign
n03236093 dreadnaught
n03717447 manhole
n07908411 absinthe
n07869391 hash
n03429137 gatling_gun
n11710136 bull_bay
n02138169 palm_civet
n03206282 discotheque
n04255899 adobe_house
n04405762 tv_monitor
n09362945 mull
n04255163 socket
n04439712 tin_foil
n02836035 bicycle_wheel
n07608980 rock_candy
n11759853 saman
n07857356 wasabi
n03895170 parvis
n11615387 pinus_taeda
n04072960 relay
n02432704 blacktail_deer
n01541922 towhee
n08256735 wedding
n09428628 seaboard
n02618827 dragonet
n12723062 coville
n03517899 high_altar
n06359467 chat_room
n08782627 aegean_island
n03202354 dinner_table
n11628793 pseudotsuga_menziesii
n01396048 paramecium
n07842753 omelette
n02685995 airbrush
n03942920 pinhead
n02150134 mastiff_bat
n02413050 black_sheep
n03152303 customhouse
n03979377 polyester
n02930645 byway
n02375302 roan
n04225222 sixpack
n01504179 fledgeling
n01788579 eurypterid
n03850492 operating_table
n03035832 cittern
n03966206 plenum
n07866723 spring_roll
n03354207 fixer_upper
n03066849 colander
n07761611 sugar_apple
n03367410 florist_shop
n02351870 jerboa
n02015797 corncrake
n09262690 dale
n04359217 supplejack
n02212062 wasp
n02696246 alembic
n02986160 cattle_guard
n03232417 drainage_system
n07574176 potluck
n03861271 outrigger
n10564098 movie_actor
n04603729 work_table
n13001206 toadstool
n12073991 odontoglossum
n03012897 chemical_plant
n07858484 tahini
n10469874 press_photographer
n01323261 suckling
n01922948 woodworm
n07834507 mayonnaise
n03999160 presbytery
n02186153 flea
n12081215 greenhood
n03567066 brooder
n00448872 rollerblading
n03123809 cow_barn
n04229007 skidder
n01851573 greater_scaup
n04273659 speed_bump
n12062781 chatterbox
n07804543 brown_rice
n11759853 monkeypod
n02814116 bb_gun
n03281673 elevator_shaft
n04292080 square_sail
n02395931 porker
n02495242 tree_shrew
n08628141 casbah
n03071552 colorimeter
n12906498 mandrake
n03087069 cement_mixer
n01565599 sedge_warbler
n11689815 cottonseed
n03002341 chair_lift
n07729225 butterbean
n07719330 bamboo_shoot
n01573627 cacique
n02531114 alewife
n02067240 sperm_whale
n04121342 russet
n01314388 pest
n12589687 latanier
n07711080 chips
n12085267 stelis
n01467804 lancelet
n03204558 dip_switch
n01836087 whippoorwill
n02620578 archerfish
n04526964 ventilator
n03874487 paddock
n01806847 california_quail
n03549473 hunting_knife
n11849271 peyote
n03906463 pelham
n01339083 hs1
n09337048 leak
n09339810 geosphere
n11985053 iva
n03952576 pizzeria
n01982347 giant_crab
n07907831 sour_mash
n03577312 integrator
n12486574 flax
n01671479 desert_tortoise
n15092751 vitamin_k
n03620967 kitchen_table
n02415130 urial
n07825850 applesauce
n01857632 honker
n01357328 clostridium_botulinum
n11636204 japanese_cedar
n04343511 student_center
n03146687 cullis
n12184912 pavonia
n11617090 monterey_pine
n00442437 bathe
n03193597 diesel_locomotive
n00470554 professional_football
n02942349 camcorder
n02190790 musca_domestica
n02916179 bulldozer
n04310721 steam_whistle
n04567593 weather_satellite
n07876026 sauerbraten
n01397871 seagrass
n07838441 marinara
n04454908 topiary
n04192521 sheraton
n12012111 ragwort
