n07594066 cake_mix
n02069974 tursiops_truncatus
n12118661 finger_millet
n12330469 myrtle
n12872458 bladderwort
n03941417 pinball_machine
n03786313 morning_room
n03978421 polling_booth
n11849271 peyote
n02870772 bookbindery
n04267435 spanker
n01691217 legless_lizard
n01544389 zebra_finch
n01750167 death_adder
n03364599 float
n07849619 raita
n02919792 cottage
n15091129 thiamin
n01646648 natterjack
n11910271 bleeding_heart
n04567593 meteorological_satellite
n00445055 surfing
n03625539 knitting_machine
n07890226 porter
n01339801 cmv
n01884476 thylacine
n03348868 firing_chamber
n04289027 sprinkler
n07614103 apple_dumpling
n12827537 moonflower
n02868638 bombproof
n02023992 killdeer
n03249342 drugstore
n02538985 whitefish
n12903503 jimson_weed
n12466727 death_camas
n07898443 sauternes
n03392648 francis_turbine
n02588286 grunt
n04205062 short_iron
n03864139 overhand_knot
n04376400 synthesiser
n02734835 architrave
n03536568 horizontal_tail
n00443231 floating
n02003037 adjutant
n02681392 adobe_brick
n04335693 street_clothes
n02473857 peking_man
n02607470 sergeant_major
n05257476 bouffant
n01856155 gander
n13128976 rachis
n02073831 manatee
n04165409 sectional
n01679626 collared_lizard
n12755225 box_elder
n02873623 boot_camp
n01670535 testudo_graeca
n07902937 arrack
n02448060 meles_meles
n02248887 soft_scale
n02835829 bicycle_rack
n02519340 pout
n03730334 maternity_hospital
n12353431 manila_hemp
n07711080 french_fries
n02042046 herring_gull
n04320973 stirrup
n02900459 bridle_path
n12327022 water_milfoil
n04102406 big_dipper
n12190410 ceiba_pentandra
n04121228 rushlight
n04062179 reciprocating_engine
n04471148 transept
n03233744 lift_bridge
n03239054 dress_suit
n01749244 rinkhals
n07727458 black_bean
n11690254 calyx_tube
n07934032 tisane
n02175916 stag_beetle
n02879087 corsage
n07774842 pine_nut
n12263204 sweet_chestnut
n04506289 uke
n02867966 bomber_jacket
n03190458 dibber
n07608866 praline
n03895170 parvis
n11666854 dicotyledon
n09454153 scree
n15086247 linseed
n11717577 american_lotus
n12279772 quercus_virginiana
n03168774 deckle
n00450998 showjumping
n03275681 electrolytic_capacitor
n04517408 vacation_home
n02786198 bandanna
n04035231 quipu
n03011018 chatelaine
n03770834 miniver
n03533654 hookup
n12969425 scleroderma_citrinum
n04439712 tin_foil
n03332393 field_artillery
n11948264 knapweed
n03836976 rayons
n01324610 herbivore
n12190410 kapok
n11849271 mezcal
n04450749 tongs
n03520493 hijab
n02749670 assegai
n11697560 barberry
n04387932 tampax
n12927758 tung
n04532504 vestry
n03967270 plimsoll
n12282527 silver_birch
n03500699 haymaker
n08555710 crawlspace
n11696450 lancewood
n02925666 combat_boot
n01803893 argus
n03683708 locker_room
n03222857 doorjamb
n12915140 lantana
n03222857 doorpost
n02694966 alb
n03423479 gas_heater
n09214916 barrier_reef
n13882201 pentagon
n03732020 mauser
n09357346 molehill
n02520147 mudcat
n07822197 ketchup
n02776205 bait
n03005285 pendent
n04318892 stiletto
n03497352 hasp
n10564098 screen_actor
n04538403 viscose_rayon
n01797020 capercaillie
n02015357 weka
n09264803 delta
n02382850 exmoor
n04404200 telex
n04126852 safety_lamp
n03948242 piste
n03170635 deep_freeze
n02961035 khan
n04367950 swaddling_clothes
n07576438 picnic
n03119203 general_store
n07853648 gouda
n04305210 statehouse
n12230540 manzanita
n14820180 concrete
n03436417 gift_shop
n09215023 baryon
n11723227 monkshood
n02209624 bumblebee
n03943266 pinnacle
n11866248 cleome
n01819734 cockatiel
n03005285 pendant
n04559166 water_cooler
n04482177 tricorne
n02278024 comma
n02498743 slender_loris
n12648693 prunus_salicina
n01553142 antbird
n12455950 gloriosa_superba
n02793089 baritone_horn
n11958080 cosmos
n03017835 inglenook
n04489695 trousseau
n10467179 president
n07908923 chartreuse
n03995265 power_cord
n03031422 cigarette_lighter
n03615563 khakis
n02809241 batiste
n04179126 sewerage
n02868240 bomblet
n12784371 roridula
n01595974 house_martin
n02655848 porcupinefish
n02432511 mule_deer
