n03158668 dado
n03430313 gavel
n02752810 telamon
n03450974 grab_bag
n07854066 limburger
n04267246 spandrel
n04201733 shooting_brake
n07745661 saskatoon
n02977438 register
n03543394 hot_rod
n11690455 petal
n02941845 camail
n04499810 turnbuckle
n03223686 doorstep
n07855105 gruyere
n04125257 safe_deposit
n03718789 mansard
n03337494 file_server
n12974987 slime_mold
n04168541 seine
n09913593 cheerleader
n03035832 citole
n01851573 greater_scaup
n07719330 bamboo_shoot
n04485423 triptych
n02172518 scarabaeus
n02971167 rubber_tire
n13152339 yerba_mansa
n03723885 martingale
n04127521 safety_razor
n12074867 ophrys_apifera
n03591798 jacquard
n12399899 osage_orange
n03296217 escape_wheel
n03861430 outrigger_canoe
n12124818 lolium_perenne
n07599161 jawbreaker
n07919310 fizz
n12550210 mucuna
n12851469 motherwort
n02676938 acropolis
n02755140 attache
n07925500 tomato_juice
n02967782 carpet_sweeper
n02897389 brewpub
n07732302 hominy
n04584056 wiffle_ball
n03543254 hot_plate
n03674270 link
n02397744 javelina
n03309110 eyeliner
n03610682 peaked_cap
n02850950 sausage
n04389718 tank_destroyer
n02084732 doggie
n04318787 stile
n03344305 fire_bell
n01712752 ceratosaur
n02050809 little_grebe
n15091846 folate
n12338979 manna_gum
n03283827 emitter
n03956331 planetary_gear
n03745146 zoo
n03758894 microbalance
n02831894 besom
n07855510 peanut_butter
n03864692 overhead_projector
n03556173 i_beam
n02581482 mackerel_scad
n03931765 picture_frame
n12506991 anthyllis_vulneraria
n02666501 abandoned_ship
n03770834 miniver
n04087826 ribbing
n03456548 greasy_spoon
n07880325 welsh_rarebit
n07909954 curacao
n02425228 bushbuck
n04089836 riding_crop
n03125057 cpu_board
n07898443 sauternes
n02747802 ashtray
n02788572 font
n12190410 kapok
n02184720 cootie
n12336333 eucalyptus_camaldulensis
n03198500 dildo
n03332591 field_coil
n09260907 tillage
n11870747 alyssum
n00470830 hurling
n04160847 searchlight
n14938389 linoleum
n01467804 amphioxus
n07836269 espagnole
n09260907 ploughland
n03034244 circuit_breaker
n07938313 soul_food
n03122295 prairie_schooner
n03231819 dragunov
n04003359 prince_albert
n02324850 oryctolagus_cuniculus
n03345837 extinguisher
n04130907 salade
n01990516 squilla
n12883628 gerardia
n02019190 great_bustard
n12154773 screw_pine
n03878963 palisade
n03559531 identikit
n07573347 spam
n01517966 flying_bird
n04213353 sickle
n15091669 vitamin_b6
n12278107 shumard_oak
n01314388 pest
n03467796 guitar_pick
n11617090 pinus_radiata
n03885904 pantyhose
n01558149 mavis
n07910656 pernod
n01392380 ameba
n04233715 slacks
n03018209 china
n03205458 dirk
n07688898 hushpuppy
n01489501 bull_shark
n07857731 hummus
n12836212 nemophila
n02931836 caber
n02709101 anastigmat
n02601767 striped_mullet
n04402449 telegraph_pole
n02803666 bass_drum
n02836035 bicycle_wheel
n02034129 godwit
n03268311 elbow
n12671651 abelia
n02833403 bevel
n12279458 black_oak
n02814428 beach_towel
n11978713 helianthus_annuus
n12615710 pondweed
n03349892 first_class
n03487444 hand_lotion
n03549589 hurdle
n02896074 breechblock
n07855317 velveeta
n12270027 quercus_alba
n03801760 music_stand
n11879722 brassica_napus
n03615563 khakis
n12584365 areca_catechu
n12239647 leucothoe
n04364994 surplice
n10514429 ref
n02416964 nanny
n03666362 led
n03587205 irrigation_ditch
n01579578 jackdaw
n01953361 cowrie
n13128976 rachis
n02710324 anechoic_chamber
n03335846 figure_eight
n12866162 clary
n02861387 bodice
n02843158 birdbath
n04298661 stairwell
n07919441 irish_coffee
n04245847 smart_bomb
n02780315 ball_bearing
n01884834 tasmanian_devil
n02393161 black_rhinoceros
n07709881 tofu
n09233446 canon
n13050397 bracket_fungus
n04030846 quadrant
n09466678 uphill
n04064213 recording_system
n09259025 crag
n02128598 leopardess
n01847253 diving_duck
n03640850 lanolin
n03934656 pieta
n03629520 kylix
n01481498 chimaera_monstrosa
n03087069 concrete_mixer
n03981760 floating_bridge
n01891633 shrew
n15092751 naphthoquinone
n12299640 salvadora_persica
n03938037 pillory
n02003204 marabou_stork
n07682197 crouton
n11631854 cupressus_arizonica
n03934565 pier_table
n04357121 sunroof
n03288742 english_horn
n02065407 minke_whale
n07605380 fondant
n02619550 mudskipper
n02768655 back_brace
n02979074 cassette_deck
n11770256 alstonia_scholaris
n13001930 shiitake
n12480895 sansevieria
n01541922 towhee
n02562971 black_crappie
n12905135 lycium_barbarum
n03062122 cocktail_lounge
n02445171 eurasian_otter
n02040266 stone_curlew
n07826653 anise
n02816656 beanbag
n05257476 bouffant
n02864593 bitt
n12217851 grevillea_banksii
n03109033 corker
n01641206 wood_frog
n03194297 differential_gear
n02200850 aedes_aegypti
n03688405 long_sleeve
n09376786 oceanfront
n07862348 spareribs
n01625562 barn_owl
n03180732 destroyer_escort
n04211219 shunter
n02763306 external_storage
n01668091 diamondback_terrapin
n03032453 cinquefoil
n01396617 stentor
n12700088 honduras_mahogany
n04045644 rafter
n12272239 quercus_garryana
n11661909 taxus_baccata
n04099003 rocker_arm
n03986355 portfolio
n02759257 autofocus
n04124573 saddle_seat
n15092059 niacin
n02764398 axe_handle
n03272239 electric_fire
n01318478 migrator
n03818343 neon_lamp
n07910538 pastis
n11684654 mesocarp
n04165675 security_blanket
n01586941 mocker
n04303497 stapler
n04542095 voting_machine
n03114379 cozy
n02563079 white_crappie
n02976350 casement
n04595028 wlan
n03082280 compound_microscope
n02305636 tiger_moth
n07899292 sweet_vermouth
n02089725 american_foxhound
n03497100 hash_house
n11646694 araucaria_bidwillii
n01963571 mussel
n04288533 spring_balance
n13123431 strangler
n13131028 umbel
n03854722 organ_loft
n04295353 stabling
n04282872 split_rail
n03653110 imitation_leather
n12137791 guinea_corn
n02538562 salvelinus_alpinus
n09382099 oxbow
n04130143 salad_bar
n07609215 sugar_candy
n03697552 lunchroom
n03788498 motel
n03843438 oilcloth
n07848196 whipping_cream
n07617708 plum_pudding
n01829869 hoopoe
n04973585 brick_red
n07749192 navel_orange
n03668067 lightning_conductor
n12870048 marum
n03016609 chicken_wire
n03463381 ground_level
n02856013 blue_chip
n04037873 raceway
n07819303 mustard_seed
n03192543 dictaphone
n12755225 acer_negundo
n07785487 rollmops
n02869563 boneshaker
n04210120 shredder
n12844939 coleus
n03941417 pinball_machine
n02118643 vixen
n02407390 holstein
n09405078 rangeland
n02648625 greenling
n00454395 fly_fishing
n04272928 spectrophotometer
n04020912 pullman_car
n02172518 scarab
n11621950 balsam_fir
n02522637 codling
n07774842 pine_nut
n04115456 rowing_boat
n04554998 washhouse
n04607869 wrist_watch
n03894677 parts_bin
n12237855 kalmia_polifolia
n07888229 pilsner
n04369282 swatter
n11706942 red_bay
n12274358 burr_oak
n01997825 ostracod
n09818022 spaceman
n02962938 heart_monitor
n07843464 souffle
n09457979 tidal_basin
n02432704 blacktail_deer
n04368365 swagger_stick
n02742468 arrester
n02666501 derelict
n02814116 bb_gun
n04538403 viscose_rayon
n04253168 snuffer
n11985053 iva
n02227247 locusta_migratoria
n02324850 european_rabbit
n03262932 lounge_chair
n02683558 afterburner
n03181667 detention_camp
n07926346 limeade
n03642144 laparoscope
n12269241 live_oak
n01925916 cercaria
n07867616 cheese_fondue
n03900393 pave
n07574504 refreshment
n11902709 argemone
n02437482 bactrian_camel
n11774513 frangipani
n03040376 white_room
n09618880 ex_president
n03090437 conformal_projection
n11857696 portulaca
n12771390 diospyros_kaki
n03016868 chiffon
n04969798 greenish_blue
n13090871 aril
n04536153 viol
n04138261 satin
n02585872 cichlid_fish
n11622184 fraser_fir
n04285803 sportswear
n11615607 jack_pine
n02538216 brook_trout
n03274265 electric_toothbrush
n03012013 cheekpiece
n04431745 thumbtack
n03553248 thermonuclear_bomb
n09421799 sandbank
n02650541 searobin
n03006788 chantry
n04585980 winchester
n01604968 accipitriformes
n12225563 australian_pine
n02687682 air_spring
n00434075 tumbling
n02080713 bearded_seal
n04172776 sentry_box
n04603399 workstation
n03814817 neckerchief
n04466871 scrambler
n12099342 sea_lavender
n01965529 zebra_mussel
n07919787 decaffeinated_coffee
n12916511 tectona_grandis
n02202678 punkie
n12129738 phalaris_arundinacea
n10297234 mascot
n12261808 white_beech
n02067240 sperm_whale
n00120010 hop
n03724623 seven_iron
n07567139 colouring
n02157206 hexapod
n12825497 dodder
n03124590 corral
n07858336 tapenade
n07836600 blanc
n03351151 fishhook
n03983612 poplin
n03436182 ghetto_blaster
n02404432 longhorn
n07895839 merlot
n03688707 long_underwear
n12859986 catnip
n09289331 glacier
n04017807 pt_boat
n12682411 teasle
n10769188 washerwoman
n07915618 manhattan
n03256631 dunce_cap
n07752782 sultana
n04555291 washroom
n01947139 neritina
n03471779 guy
n13137225 syconium
n04053508 rangefinder
n02904505 broadside
n03948830 pistol_grip
n01534155 bullfinch
n03629100 kurdistan
n03952576 pizzeria
n02964295 car_ferry
n03119396 coupe
n07734017 tomato
n04064862 recovery_room
n00445055 surfing
n04102406 roller_coaster
n01839598 flicker
n02869155 bone_china
n04335693 street_clothes
n10283170 major
n12230540 madrona
n08613733 open
n01693783 chameleon
n07832416 pesto
n07910048 triple_sec
n04967801 sage_green
n04586072 windbreak
n03359436 flash_memory
n12115180 pampas_grass
n04607242 wringer
n03465818 guidance_system
n03783873 monoplane
n02772101 backup_system
n01422335 trophozoite
n07926250 lemonade
n03482523 hand
n02396796 babirusa
n07815294 mace
n12833985 streptocarpus
n01628770 caudate
n01573898 bobolink
n10120671 gardener
n12412355 bearded_iris
n04335886 streetlight
n07878647 stuffed_peppers
n04220250 silo
n03134394 crookes_tube
n03995661 power_loom
n12196694 kurrajong
