n06281040 reception
n09834699 ballet_dancer
n02902916 broad_arrow
n00449168 speed_skating
n03779128 mohair
n04104147 rolodex
n04122685 sachet
n01558149 throstle
n01558149 song_thrush
n01558149 mavis
n04448070 toilet_water
n07889814 bitter
n03088707 conductor
n03322704 greenmarket
n03322704 green_market
n10164492 head_nurse
n04184316 shantung
n07852833 camembert
n03362639 fleece
n03451365 grade_separation
n12408280 slippery_elm
n11889619 candytuft
n02061853 diving_petrel
n02926591 bustle
n03063968 coffee_table
n13874073 equator
n03649674 lawn_chair
n07890617 kvass
n00479734 fives
n03704834 magic_lantern
n03123917 cowbell
n04023422 punchboard
n07691539 brioche
