n03205304 direction_finder
n01527194 accentor
n02894337 breakfast_table
n01454856 stickleback
n03069752 college
n04420720 thermocouple
n13032923 verpa
n03856012 orphanage
n02481366 mountain_gorilla
n01743086 anaconda
n01646648 natterjack
n02312912 imago
n04430896 thumb
n12173069 velvetleaf
n00452152 cockfighting
n04526800 ventilation_shaft
n02473857 peking_man
n01882125 flying_squirrel
n00483705 real_tennis
n02744323 arterial_road
n02921029 etna
n04536153 viol
n04370774 sweats
n02105056 groenendael
n03172738 delayed_action
n02239192 chinch_bug
n01350226 bacillus_anthracis
n02922461 burin
n02443015 american_mink
n04179913 sewing_machine
n07835921 bourguignon
n02801184 basilica
n03326795 felt
n04423845 thimble
n02109150 guide_dog
n09344324 lunar_crater
n02740300 apc
n04305572 stateroom
n07926250 lemonade
n03365374 flood
n07802863 groats
n01545574 lyrebird
n00478262 soccer
n11685621 siliqua
n04477725 treasure_ship
n02003204 marabou
n04427559 3d_radar
n02100735 english_setter
n07865196 chop_suey
n03911658 penknife
n04343740 student_union
n03660562 liberty_ship
n04266968 spaghetti_junction
n03935335 piggy_bank
n06273207 call_back
n03724623 seven_iron
n02669295 abutment
n02687423 aircraft_engine
n03837869 obelisk
n12979829 white_fungus
n02888569 bracket
n04137089 sash_window
n02852173 flasher
n03716228 mammogram
n02309242 instar
n04052658 ranch_house
n09289331 glacier
n03319167 fallout_shelter
n03846431 olympian_zeus
n07684517 raisin_bread
n02956699 capitol
n03413264 galvanometer
n08571898 flea_market
n07905474 schnaps
n02074367 dugong
n01742447 rubber_boa
n02428089 puku
n02513939 spawner
n02782778 ballpark
n07845087 formula
n03942920 pinhead
n04145863 schmidt_telescope
n07569644 graham
n04087826 ribbing
n01689811 alligator_lizard
n03915118 percolator
n02563648 pumpkinseed
n03729482 matchlock
n12237855 kalmia_polifolia
n03505015 headrace
n12180168 hibiscus_tiliaceus
n03536122 horizontal_stabiliser
n10041887 earner
n03690851 lota
n03498536 hatch
n03138344 crowbar
n02446206 striped_skunk
n02527271 moray_eel
n02696246 alembic
n01667432 musk_turtle
n02034129 godwit
n07888378 shebeen
n07768230 bartlett
n02129923 tigress
n04970312 tyrian_purple
n07586894 vegetable_soup
n07693590 danish_pastry
n03109150 corkscrew
n03946162 pipe_fitting
n04357314 sunscreen
n07924443 cranberry_juice
n01319685 bycatch
n12597466 saw_palmetto
n04013176 proscenium
n02752199 athenaeum
n07926442 orangeade
n02537525 rainbow_trout
n02763604 volary
n02150482 vampire_bat
n01594787 barn_swallow
n03796974 muff
n03318294 fairy_light
n02102605 water_spaniel
n03487886 hand_pump
n12982468 pythium
n04201297 shoji
n02874750 bootstrap
n03966206 plenum
n03982430 pool_table
n06596607 pulp_magazine
n12463743 bog_asphodel
n12044467 aerides
n01735439 thamnophis_sirtalis
n02030287 tattler
n07804771 wild_rice
n02101670 field_spaniel
n12721477 palo_santo
n03723439 marriage_bed
n04598318 woodshed
n12631331 avens
n11628087 western_hemlock
n12729729 red_willow
n09893502 captive
n12100187 barbasco
n04351699 suiting
n02367492 chinchilla
n03617480 kimono
n12310349 lilac
n04294614 stabilizer_bar
n13132656 panicle
n02096051 airedale_terrier
n09906704 champ
n11661909 taxus_baccata
n03260206 dye_works
n12048399 caladenia
n07869611 jambalaya
n04449449 toll_bridge
n02073831 manatee
n01751748 sea_snake
n00449168 speed_skating
n09454412 tangle
n13003061 amanita_muscaria
n04560113 water_heater
n03904657 pediment
n02986160 cattle_guard
n13155095 bracteole
n12124818 lolium_perenne
n02813981 b_battery
n03823216 niblick
n04583212 fisheye_lens
n07749192 navel_orange
n12262018 weeping_beech
n01805321 monal
n04002629 primary_winding
n02607470 sergeant_major
n04147183 schooner
n02017725 takahe
n00474881 perfect_game
n03127747 crash_helmet
n03813946 nebuchadnezzar
n02450677 beech_marten
n02107142 doberman
n04235860 sleeping_bag
n01646802 american_toad
n07846359 evaporated_milk
n12869478 germander
n12947313 cornus_florida
n04414319 terra_sigillata
n02481823 chimpanzee
n12973791 rhizopus
n03559531 identikit
n03758992 microbrewery
n02643566 lionfish
n12711398 rangpur
n03333610 field_house
n04533802 videocassette_recorder
n02409038 anoa
n04306592 stator
n03413124 gibbet
n07924747 grapefruit_juice
n04240752 slipcover
n08500819 interplanetary_space
n08524735 metropolis
n07919787 decaffeinated_coffee
n01855188 smew
n02932693 cabin_class
n04003856 print
n03934565 pier_table
n07886317 kava
n01841943 piculet
n02749169 headache_powder
n02823586 beer_garden
n02490811 pygmy_marmoset
n03465818 guidance_system
n03216402 diving_dress
n03303669 exhaust_valve
n02129991 liger
n03332591 field_coil
n09242389 chasm
n14858292 litter
n02644501 rasher
n01636127 lungless_salamander
n04389718 tank_destroyer
n00452864 beagling
n01823013 cuckoo
n04036303 qwerty_keyboard
n01687978 agama
n02869249 castanets
n04500060 turner
n04486616 troika
n07918028 sour
n03868242 oxcart
n10605253 skier
n03274265 electric_toothbrush
n12599874 psyllium
n03109033 corker
n07564796 pap
n05454833 sickle_cell
n01622120 athene_noctua
n03688707 long_underwear
n01647640 western_toad
n04104147 rolodex
n12872914 butterwort
n04607869 wrist_watch
n01382033 spirochaete
n01786646 millipede
n07685918 black_bread
n04134523 sandbox
n11801392 birthwort
n09279986 fireball
n12387103 halophyte
n12081215 greenhood
n03066359 coil_spring
n12092417 scarlet_pimpernel
